Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
1,2020-09-01,byjus,E-Tech,E-learning,Bengaluru,tiger global management,Private Equity Round,1711.3999999999999
2,2020-01-13,shuttl,Transportation,App based shuttle service,Gurgaon,susquehanna growth equity,Series C,68.87010745799999
3,2020-09-01,mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,sequoia capital india,Series B,157.09676502
4,2020-02-01,httpswwwwealthbucket,FinTech,Online Investment,New Delhi,vinod khatumal,Pre-series A,25.670999999999996
5,2020-02-01,fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,sprout venture partners,Seed Round,15.4026
6,2020-01-13,pando,Logistics,"Open-market, freight management platform",Chennai,chiratae,Series A,77.01299999999999
7,2020-10-01,zomato,Hospitality,Online Food Delivery Platform,Gurgaon,ant financial,Private Equity Round,1283.5499999999997
8,2019-12-12,ecozen,Technology,Agritech,Pune,sathguru catalyzer advisors,Series A,51.34199999999999
9,2019-06-12,cardekho,E-Commerce,Automobile,Gurgaon,ping an global voyager fund,Series D,598.9899999999999
10,2019-03-12,dhruva space,Aerospace,Satellite Communication,Bengaluru,mumbai angels ravikanth reddy,Seed,427.84999999999997
11,2019-12-13,rivigo,Technology,Logistics Services and Solutions,Gurgaon,saif partners spring canter investment ltd,Series F,171.14
12,2019-12-17,healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,paytm nptk sabre partners and neoplux,Series C,102.68399999999998
13,2019-12-16,licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,vertex growth fund,Series E,256.71
14,2019-12-16,incred,Finance,Non-Banking Financial Company,Mumbai,disclosed,Debt Funding,50.48629999999999
15,2019-12-14,trell,Video,Experience Discovery Platform,Bengaluru,ruizheng investment,Seed Round,17.114
16,2019-11-12,rein games,Gaming,Real money based gaming startup,Noida,manipal education and medical group memg,Seed Round,427.84999999999997
17,2019-12-20,lenskart,E-Commerce,Online Eyewear Shopping Portal,Faridabad,softbank vision fund,Series G,1976.667
18,2019-11-13,freshworks,Software,Business and customer engagement tools,San Francisco,sequoia capitalg accel,Series H,1283.5499999999997
19,2019-11-14,misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,saucevc rainforest,Series B,4.158702
20,2019-11-13,sunstone eduversity,Education,Elearning,Gurgaon,prime venture partners letsventure ps1 venture and globallogic cofounder rajul garg,Seed,12.835499999999998
21,2019-11-17,burger singh,Food and Beverage,Indian Burger Brand,Gurgaon,rb investments,Venture,0.0
22,2019-11-18,healthians,Health and Wellness,Healthcare services,Gurgaon,dg daiwa dg incubation,Series B,102.68399999999998
23,2019-11-15,ninjacart,B2B Marketing,Agritech,Bengaluru,trifecta capital advisors,Debt Funding,222.482
